Current Time,EPC Value,Count
14:03:09,F00012F8,"[2, 0, 0, 0]"
14:03:16,A00000000099,"[4, 0, 0, 0]"
14:03:16,A00000000088,"[3, 0, 0, 0]"
14:03:16,A00000000044,"[4, 0, 0, 0]"
14:03:16,BCD5000000000008,"[1, 0, 0, 0]"
14:03:16,A00000000023,"[4, 0, 0, 0]"
14:03:16,30363A6C7026E9AA6D3CB8E2,"[1, 0, 0, 0]"
14:03:16,A00000000053,"[3, 0, 0, 0]"
14:03:16,BCD5000000000005,"[2, 0, 0, 0]"
14:03:16,E2801191A50300620A26D220,"[2, 0, 0, 0]"
14:03:16,A00000000093,"[4, 0, 0, 0]"
14:03:16,BCD500000777,"[4, 0, 0, 0]"
14:03:16,F0001327,"[2, 0, 0, 0]"
14:03:16,F00012A7,"[2, 0, 0, 0]"
14:03:16,A00000000082,"[4, 0, 0, 0]"
14:03:16,3312C972E40019C000A090C1,"[2, 0, 0, 0]"
14:03:16,BCD500000333,"[3, 0, 0, 0]"
14:03:16,A00000000002,"[2, 0, 0, 0]"
14:03:16,000000000000000000000023,"[1, 0, 0, 0]"
14:03:16,F0001321,"[2, 0, 0, 0]"
14:03:16,A00000000077,"[4, 0, 0, 0]"
14:03:16,A00000000075,"[4, 0, 0, 0]"
14:03:16,B0000089,"[3, 0, 0, 0]"
14:03:16,BCD50007,"[1, 0, 0, 0]"
14:03:16,F0001384,"[2, 0, 0, 0]"
14:03:16,30363A6C7026E9AA6D3CB0DF,"[4, 0, 0, 0]"
14:03:16,A00000000042,"[4, 0, 0, 0]"
14:03:16,BCD5000000000007,"[3, 0, 0, 0]"
14:03:16,300833B2DDD9014000000000,"[4, 0, 0, 0]"
14:03:16,A00000000095,"[4, 0, 0, 0]"
14:03:16,393331393233363031393333,"[2, 0, 0, 0]"
""
Total Unique Tags
31
